Time,Acquistata (W),Autoconsumo (W),Consumo (W),Immessa (W),Produzione (W)
30/09/2020 00:00,"1261.6865","0","1261.6865","0","0"
30/09/2020 00:15,"1167.985","0","1167.985","0","0"
30/09/2020 00:30,"976.6777","0","976.6777","0","0"
30/09/2020 00:45,"1209.0985","0","1209.0985","0","0"
30/09/2020 01:00,"1099.7211","0","1099.7211","0","0"
30/09/2020 01:15,"1094.6058","0","1094.6058","0","0"
30/09/2020 01:30,"791.056","0","791.056","0","0"
30/09/2020 01:45,"683.8953","0","683.8953","0","0"
30/09/2020 02:00,"878.9709","0","878.9709","0","0"
30/09/2020 02:15,"733.568","0","733.568","0","0"
30/09/2020 02:30,"761.096","0","761.096","0","0"
30/09/2020 02:45,"785.8895","0","785.8895","0","0"
30/09/2020 03:00,"795.0492","0","795.0492","0","0"
30/09/2020 03:15,"871.5053","0","871.5053","0","0"
30/09/2020 03:30,"672.0013","0","672.0013","0","0"
30/09/2020 03:45,"702.0982","0","702.0982","0","0"
30/09/2020 04:00,"1164.12","0","1164.12","0","0"
30/09/2020 04:15,"696.1653","0","696.1653","0","0"
30/09/2020 04:30,"622.9857","0","622.9857","0","0"
30/09/2020 04:45,"904.8787","0","904.8787","0","0"
30/09/2020 05:00,"1189.3225","0","1189.3225","0","0"
30/09/2020 05:15,"890.8239","0","890.8239","0","0"
30/09/2020 05:30,"842.5006","0","842.5006","0","0"
30/09/2020 05:45,"613.636","0","613.636","0","0"
30/09/2020 06:00,"1415.5696","0","1415.5696","0","0"
30/09/2020 06:15,"1234.9756","0","1234.9756","0","0"
30/09/2020 06:30,"1104.2687","0","1104.2687","0","0"
30/09/2020 06:45,"1312.1703","4.3333","1316.5037","0","4.3333"
30/09/2020 07:00,"1076.7081","87.6667","1164.3748","0","87.6667"
30/09/2020 07:15,"2265.5715","212.3333","2477.9048","0","212.3333"
30/09/2020 07:30,"4582.627","309","4891.627","0","309"
30/09/2020 07:45,"7372.041","796","8168.041","0","796"
30/09/2020 08:00,"2260.6833","1201.8383","3462.5215","205.4951","1407.3334"
30/09/2020 08:15,"0","1354.4113","1354.4113","493.9221","1848.3334"
30/09/2020 08:30,"0","1541.3802","1541.3802","765.953","2307.3333"
30/09/2020 08:45,"144.8363","2673.6445","2818.481","60.6886","2734.3333"
30/09/2020 09:00,"275.0857","2609.0171","2884.1028","526.316","3135.3333"
30/09/2020 09:15,"320.0462","3001.7778","3321.824","539.8888","3541.6667"
30/09/2020 09:30,"0","2742.604","2742.604","1135.0626","3877.6667"
30/09/2020 09:45,"0","2498.9858","2498.9858","1676.0143","4175"
30/09/2020 10:00,"27.1206","3077.4858","3104.6064","1362.514","4440"
30/09/2020 10:15,"162.0134","3402.2007","3564.2141","1288.7992","4691"
30/09/2020 10:30,"0","2063.1738","2063.1738","2845.8262","4909"
30/09/2020 10:45,"0","1469.2693","1469.2693","3667.0642","5136.3335"
30/09/2020 11:00,"0","2153.925","2153.925","3169.075","5323"
30/09/2020 11:15,"0","932.7837","932.7837","4559.2163","5492"
30/09/2020 11:30,"0","1595.2847","1595.2847","3977.3818","5572.6665"
30/09/2020 11:45,"0","1961.3132","1961.3132","3723.6868","5685"
30/09/2020 12:00,"0","1112.8374","1112.8374","4647.1626","5760"
30/09/2020 12:15,"0","2788.1875","2788.1875","3029.146","5817.3335"
30/09/2020 12:30,"0","902.4673","902.4673","4933.8662","5836.3335"
30/09/2020 12:45,"0","1199.5083","1199.5083","4640.1582","5839.6665"
30/09/2020 13:00,"0","2249.9082","2249.9082","3577.4253","5827.3335"
30/09/2020 13:15,"0","722.332","722.332","5024.3345","5746.6665"
30/09/2020 13:30,"0","2042.4426","2042.4426","3558.5574","5601"
30/09/2020 13:45,"0","1364.5781","1364.5781","4132.7554","5497.3335"
30/09/2020 14:00,"0","1930.4214","1930.4214","3464.9121","5395.3335"
30/09/2020 14:15,"0","1063.5537","1063.5537","4213.4463","5277"
30/09/2020 14:30,"0","2648.2002","2648.2002","2303.4663","4951.6665"
30/09/2020 14:45,"0","1407.9058","1407.9058","3312.4277","4720.3335"
30/09/2020 15:00,"0","2157.1262","2157.1262","2110.5403","4267.6665"
30/09/2020 15:15,"0","1564.2915","1564.2915","2189.0417","3753.3333"
30/09/2020 15:30,"0","2159.7178","2159.7178","1206.9491","3366.6667"
30/09/2020 15:45,"0","1280.3674","1280.3674","1732.6326","3013"
30/09/2020 16:00,"553.9915","1921.1396","2475.1311","672.5271","2593.6667"
30/09/2020 16:15,"0","894.9003","894.9003","1316.433","2211.3333"
30/09/2020 16:30,"280.4467","1645.573","1926.0198","115.0936","1760.6666"
30/09/2020 16:45,"203.2227","1186.3984","1389.6211","134.6016","1321"
30/09/2020 17:00,"1082.0057","869.7089","1951.7146","6.9577","876.6667"
30/09/2020 17:15,"1032.1597","492","1524.1597","0","492"
30/09/2020 17:30,"1081.0236","268","1349.0236","0","268"
30/09/2020 17:45,"1143.7897","171.6667","1315.4563","0","171.6667"
30/09/2020 18:00,"2330.3513","104.6667","2435.0181","0","104.6667"
30/09/2020 18:15,"1282.8433","24.25","1307.0933","0","24.25"
30/09/2020 18:30,"1638.4222","1.6667","1640.0889","0","1.6667"
30/09/2020 18:45,"1626.8435","0","1626.8435","0","0"
30/09/2020 19:00,"1756.2788","0","1756.2788","0","0"
30/09/2020 19:15,"1794.072","0","1794.072","0","0"
30/09/2020 19:30,"1869.858","0","1869.858","0","0"
30/09/2020 19:45,"1124.0968","0","1124.0968","0","0"
30/09/2020 20:00,"2176.4595","0","2176.4595","0","0"
30/09/2020 20:15,"1193.5538","0","1193.5538","0","0"
30/09/2020 20:30,"3088.9724","0","3088.9724","0","0"
30/09/2020 20:45,"1151.364","0","1151.364","0","0"
30/09/2020 21:00,"1268.2413","0","1268.2413","0","0"
30/09/2020 21:15,"1424.0215","0","1424.0215","0","0"
30/09/2020 21:30,"1666.8525","0","1666.8525","0","0"
30/09/2020 21:45,"1121.1327","0","1121.1327","0","0"
30/09/2020 22:00,"1418.0323","0","1418.0323","0","0"
30/09/2020 22:15,"1156.5732","0","1156.5732","0","0"
30/09/2020 22:30,"1141.9022","0","1141.9022","0","0"
30/09/2020 22:45,"1021.4796","0","1021.4796","0","0"
30/09/2020 23:00,"1799.4231","0","1799.4231","0","0"
30/09/2020 23:15,"764.42","0","764.42","0","0"
30/09/2020 23:30,"1654.8579","0","1654.8579","0","0"
30/09/2020 23:45,"1564.0575","0","1564.0575","0","0"
01/10/2020 00:00,"1846.4445","0","1846.4445","0","0"
01/10/2020 00:15,"969.1883","0","969.1883","0","0"
01/10/2020 00:30,"866.799","0","866.799","0","0"
01/10/2020 00:45,"671.5397","0","671.5397","0","0"
01/10/2020 01:00,"1064.0565","0","1064.0565","0","0"
01/10/2020 01:15,"663.0146","0","663.0146","0","0"
01/10/2020 01:30,"672.9426","0","672.9426","0","0"
01/10/2020 01:45,"964.4796","0","964.4796","0","0"
01/10/2020 02:00,"785.9509","0","785.9509","0","0"
01/10/2020 02:15,"1099.5728","0","1099.5728","0","0"
01/10/2020 02:30,"871.6816","0","871.6816","0","0"
01/10/2020 02:45,"985.2393","0","985.2393","0","0"
01/10/2020 03:00,"939.8853","0","939.8853","0","0"
01/10/2020 03:15,"1098.0223","0","1098.0223","0","0"
01/10/2020 03:30,"921.5344","0","921.5344","0","0"
01/10/2020 03:45,"1069.3165","0","1069.3165","0","0"
01/10/2020 04:00,"639.8032","0","639.8032","0","0"
01/10/2020 04:15,"809.7138","0","809.7138","0","0"
01/10/2020 04:30,"680.007","0","680.007","0","0"
01/10/2020 04:45,"733.6926","0","733.6926","0","0"
01/10/2020 05:00,"746.1083","0","746.1083","0","0"
01/10/2020 05:15,"909.9491","0","909.9491","0","0"
01/10/2020 05:30,"594.2625","0","594.2625","0","0"
01/10/2020 05:45,"878.2638","0","878.2638","0","0"
01/10/2020 06:00,"1468.7067","0","1468.7067","0","0"
01/10/2020 06:15,"2608.4155","0","2608.4155","0","0"
01/10/2020 06:30,"4253.8149","0","4253.8149","0","0"
01/10/2020 06:45,"3168.3494","0","3168.3494","0","0"
01/10/2020 07:00,"3831.126","51","3882.126","0","51"
01/10/2020 07:15,"2931.5886","219.6667","3151.2554","0","219.6667"
01/10/2020 07:30,"5814.2544","521.3333","6335.5879","0","521.3333"
01/10/2020 07:45,"5826.5435","865.3333","6691.877","0","865.3333"
01/10/2020 08:00,"2038.7095","1242.6666","3281.376","0","1242.6666"
01/10/2020 08:15,"888.102","1260.0582","2148.1602","432.9418","1693"
01/10/2020 08:30,"0","424.1892","424.1892","1695.4775","2119.6667"
01/10/2020 08:45,"0","634.3269","634.3269","1894.0063","2528.3333"
01/10/2020 09:00,"26.9352","2446.9529","2473.8879","477.0472","2924"
01/10/2020 09:15,"0","2973.8499","2973.8499","323.1502","3297"
01/10/2020 09:30,"0","864.2603","864.2603","2739.073","3603.3333"
01/10/2020 09:45,"0","996.7759","996.7759","2935.8909","3932.6667"
01/10/2020 10:00,"0","1850.4602","1850.4602","2348.2063","4198.6665"
01/10/2020 10:15,"0","897.4219","897.4219","3598.2446","4495.6665"
01/10/2020 10:30,"0","674.8442","674.8442","4073.1558","4748"
01/10/2020 10:45,"0","2019.8899","2019.8899","2897.1101","4917"
01/10/2020 11:00,"0","2491.5107","2491.5107","2574.8228","5066.3335"
01/10/2020 11:15,"0","1255.6008","1255.6008","3973.0657","5228.6665"
01/10/2020 11:30,"0","1384.0388","1384.0388","3953.2947","5337.3335"
01/10/2020 11:45,"0","1518.8445","1518.8445","3977.1555","5496"
01/10/2020 12:00,"0","2108.2949","2108.2949","3489.0386","5597.3335"
01/10/2020 12:15,"0","1364.9678","1364.9678","4236.0322","5601"
01/10/2020 12:30,"0","1413.8545","1413.8545","4233.479","5647.3335"
01/10/2020 12:45,"0","1802.2175","1802.2175","3891.116","5693.3335"
01/10/2020 13:00,"0","1511.5195","1511.5195","3004.814","4516.3335"
01/10/2020 13:15,"0","2681.9153","2681.9153","2902.0847","5584"
01/10/2020 13:30,"0","1420.2529","1420.2529","4079.0806","5499.3335"
01/10/2020 13:45,"0","1062.396","1062.396","4331.604","5394"
01/10/2020 14:00,"0","1578.896","1578.896","3653.104","5232"
01/10/2020 14:15,"0","1259.9541","1259.9541","3796.0459","5056"
01/10/2020 14:30,"0","2930.2505","2930.2505","1860.083","4790.3335"
01/10/2020 14:45,"0","1682.4941","1682.4941","2854.1724","4536.6665"
01/10/2020 15:00,"0","2589.2656","2589.2656","1589.7345","4179"
01/10/2020 15:15,"0","1844.1252","1844.1252","1803.208","3647.3333"
01/10/2020 15:30,"360.453","1712.3494","2072.8022","930.6506","2643"
01/10/2020 15:45,"114.7418","1900.3033","2015.0452","1373.3634","3273.6667"
01/10/2020 16:00,"50.14","1001.7474","1051.8873","865.586","1867.3334"
01/10/2020 16:15,"271.6049","1188.0908","1459.6957","524.9092","1713"
01/10/2020 16:30,"437.9579","850.6528","1288.6106","16.6805","867.3333"
01/10/2020 16:45,"386.5724","865.4201","1251.9924","61.9132","927.3333"
01/10/2020 17:00,"620.6766","843","1463.6766","0","843"
01/10/2020 17:15,"489.8219","608.3333","1098.1553","0","608.3333"
01/10/2020 17:30,"1135.6925","474.6667","1610.3591","0","474.6667"
01/10/2020 17:45,"983.4106","229.3333","1212.744","0","229.3333"
01/10/2020 18:00,"1550.3911","111","1661.3911","0","111"
01/10/2020 18:15,"1393.2745","12.75","1406.0245","0","12.75"
01/10/2020 18:30,"1358.4456","0","1358.4456","0","0"
01/10/2020 18:45,"1710.0168","0","1710.0168","0","0"
01/10/2020 19:00,"1323.8202","0","1323.8202","0","0"
01/10/2020 19:15,"1806.7972","0","1806.7972","0","0"
01/10/2020 19:30,"1564.8508","0","1564.8508","0","0"
01/10/2020 19:45,"973.0377","0","973.0377","0","0"
01/10/2020 20:00,"1999.1628","0","1999.1628","0","0"
01/10/2020 20:15,"2368.4272","0","2368.4272","0","0"
01/10/2020 20:30,"1941.1262","0","1941.1262","0","0"
01/10/2020 20:45,"1574.783","0","1574.783","0","0"
