Time,Acquistata (W),Autoconsumo (W),Consumo (W),Immessa (W),Produzione (W)
20/05/2020 00:00,"938.2111","0","938.2111","0","0"
20/05/2020 00:15,"887.4453","0","887.4453","0","0"
20/05/2020 00:30,"743.8266","0","743.8266","0","0"
20/05/2020 00:45,"784.2694","0","784.2694","0","0"
20/05/2020 01:00,"612.7297","0","612.7297","0","0"
20/05/2020 01:15,"975.8198","0","975.8198","0","0"
20/05/2020 01:30,"454.1412","0","454.1412","0","0"
20/05/2020 01:45,"494.7655","0","494.7655","0","0"
20/05/2020 02:00,"763.9052","0","763.9052","0","0"
20/05/2020 02:15,"447.7447","0","447.7447","0","0"
20/05/2020 02:30,"515.7526","0","515.7526","0","0"
20/05/2020 02:45,"863.0895","0","863.0895","0","0"
20/05/2020 03:00,"568.1205","0","568.1205","0","0"
20/05/2020 03:15,"576.6772","0","576.6772","0","0"
20/05/2020 03:30,"554.9701","0","554.9701","0","0"
20/05/2020 03:45,"2415.5676","0","2415.5676","0","0"
20/05/2020 04:00,"2941.0952","0","2941.0952","0","0"
20/05/2020 04:15,"2401.7727","0","2401.7727","0","0"
20/05/2020 04:30,"440.3288","0","440.3288","0","0"
20/05/2020 04:45,"1572.3777","0","1572.3777","0","0"
20/05/2020 05:00,"2750.4727","0","2750.4727","0","0"
20/05/2020 05:15,"2933.8816","0","2933.8816","0","0"
20/05/2020 05:30,"636.9264","4","640.9264","0","4"
20/05/2020 05:45,"505.5255","25.3333","530.8588","0","25.3333"
20/05/2020 06:00,"473.5976","116","589.5977","0","116"
20/05/2020 06:15,"306.3972","220.6667","527.0639","0","220.6667"
20/05/2020 06:30,"94.1128","403.8233","497.9362","19.8433","423.6667"
20/05/2020 06:45,"228.3527","524.9609","753.3135","128.7058","653.6667"
20/05/2020 07:00,"37.373","621.4745","658.8475","373.8588","995.3333"
20/05/2020 07:15,"142.5081","1125.0383","1267.5464","156.2951","1281.3334"
20/05/2020 07:30,"1032.6958","1942","2974.6958","0","1942"
20/05/2020 07:45,"512.4991","2765.9106","3278.4097","50.7562","2816.6667"
20/05/2020 08:00,"8.3442","1755.7996","1764.1437","952.5336","2708.3333"
20/05/2020 08:15,"723.1227","2552.5063","3275.6289","590.827","3143.3333"
20/05/2020 08:30,"2218.5896","3350.6667","5569.2563","0","3350.6667"
20/05/2020 08:45,"2920.1909","3466.6667","6386.8574","0","3466.6667"
20/05/2020 09:00,"3452.7129","2983.6667","6436.3799","0","2983.6667"
20/05/2020 09:15,"0","470.5459","470.5459","3157.7874","3628.3333"
20/05/2020 09:30,"0","1040.6743","1040.6743","2910.3257","3951"
20/05/2020 09:45,"0","778.207","778.207","3713.793","4492"
20/05/2020 10:00,"0","599.4551","599.4551","3217.8782","3817.3333"
20/05/2020 10:15,"0","997.6072","997.6072","2367.0596","3364.6667"
20/05/2020 10:30,"0","753.134","753.134","3635.5325","4388.6665"
20/05/2020 10:45,"0","662.3223","662.3223","5340.0112","6002.3335"
20/05/2020 11:00,"0","647.0244","647.0244","5781.9756","6429"
20/05/2020 11:15,"0","1049.9868","1049.9868","3151.0132","4201"
20/05/2020 11:30,"0","847.2891","847.2891","3779.3774","4626.6665"
20/05/2020 11:45,"0","710.96","710.96","5073.54","5784.5"
20/05/2020 12:00,"0","688.6333","688.6333","2563.0334","3251.6667"
20/05/2020 12:15,"0","335.8047","335.8047","1514.5287","1850.3334"
20/05/2020 12:30,"0","575.5834","575.5834","1073.0833","1648.6666"
20/05/2020 12:45,"127.3474","858.1158","985.4632","444.2175","1302.3334"
20/05/2020 13:00,"0","711.6323","711.6323","472.0343","1183.6666"
20/05/2020 13:15,"89.4829","741.8355","831.3184","799.8311","1541.6666"
20/05/2020 13:30,"0","605.0461","605.0461","3002.2871","3607.3333"
20/05/2020 13:45,"0","627.6929","627.6929","6513.3071","7141"
20/05/2020 14:00,"0","1275.0156","1275.0156","3092.3179","4367.3335"
20/05/2020 14:15,"0","898.333","898.333","6478.0005","7376.3335"
20/05/2020 14:30,"0","1915.0797","1915.0797","1506.9203","3422"
20/05/2020 14:45,"0","1177.3623","1177.3623","5540.6377","6718"
20/05/2020 15:00,"0","1013.9812","1013.9812","3923.6853","4937.6665"
20/05/2020 15:15,"0","1105.5989","1105.5989","671.4011","1777"
20/05/2020 15:30,"699.7335","799.3333","1499.0669","0","799.3333"
20/05/2020 15:45,"465.4356","305.3333","770.7689","0","305.3333"
20/05/2020 16:00,"657.7375","125.3333","783.0708","0","125.3333"
20/05/2020 16:15,"566.5847","82.6667","649.2514","0","82.6667"
20/05/2020 16:30,"351.4987","18","369.4987","0","18"
