Time,Acquistata (W),Autoconsumo (W),Consumo (W),Immessa (W),Produzione (W)
29/07/2020 00:00,"2681.5977","0","2681.5977","0","0"
29/07/2020 00:15,"2610.5469","0","2610.5469","0","0"
29/07/2020 00:30,"2864.7346","0","2864.7346","0","0"
29/07/2020 00:45,"3208.0623","0","3208.0623","0","0"
29/07/2020 01:00,"2653.2725","0","2653.2725","0","0"
29/07/2020 01:15,"3459.5798","0","3459.5798","0","0"
29/07/2020 01:30,"1300.4556","0","1300.4556","0","0"
29/07/2020 01:45,"4286.5811","0","4286.5811","0","0"
29/07/2020 02:00,"1015.6141","0","1015.6141","0","0"
29/07/2020 02:15,"4254.7153","0","4254.7153","0","0"
29/07/2020 02:30,"1603.1335","0","1603.1335","0","0"
29/07/2020 02:45,"3096.1064","0","3096.1064","0","0"
29/07/2020 03:00,"3587.6143","0","3587.6143","0","0"
29/07/2020 03:15,"1953.296","0","1953.296","0","0"
29/07/2020 03:30,"1677.6075","0","1677.6075","0","0"
29/07/2020 03:45,"2843.4707","0","2843.4707","0","0"
29/07/2020 04:00,"2148.5793","0","2148.5793","0","0"
29/07/2020 04:15,"2292.0085","0","2292.0085","0","0"
29/07/2020 04:30,"2034.724","0","2034.724","0","0"
29/07/2020 04:45,"1852.5361","0","1852.5361","0","0"
29/07/2020 05:00,"2554.5715","0","2554.5715","0","0"
29/07/2020 05:15,"3108.6353","0","3108.6353","0","0"
29/07/2020 05:30,"1445.771","0","1445.771","0","0"
29/07/2020 05:45,"1696.9097","0","1696.9097","0","0"
29/07/2020 06:00,"3297.7612","24","3321.7612","0","24"
29/07/2020 06:15,"1392.6625","97","1489.6625","0","97"
29/07/2020 06:30,"3398.7891","259.3333","3658.1223","0","259.3333"
29/07/2020 06:45,"621.8259","510.3333","1132.1593","0","510.3333"
29/07/2020 07:00,"2563.6179","810","3373.6179","0","810"
29/07/2020 07:15,"402.7018","985.891","1388.5928","177.109","1163"
29/07/2020 07:30,"2333.1418","1545","3878.1418","0","1545"
29/07/2020 07:45,"2263.7749","1924.3334","4188.1084","0","1924.3334"
29/07/2020 08:00,"1118.2051","2315.6667","3433.8718","0","2315.6667"
29/07/2020 08:15,"1319.0037","2410.9226","3729.9263","270.7442","2681.6667"
29/07/2020 08:30,"1304.2588","2696.2634","4000.5222","336.7365","3033"
29/07/2020 08:45,"24.7649","2567.0161","2591.781","855.9838","3423"
29/07/2020 09:00,"938.9771","2711.4644","3650.4414","1098.8688","3810.3333"
29/07/2020 09:15,"543.912","3186.812","3730.7241","934.8546","4121.6665"
29/07/2020 09:30,"473.369","3266.1704","3739.5396","1109.4962","4375.6665"
29/07/2020 09:45,"227.0639","2034.4045","2261.4685","2607.929","4642.3335"
29/07/2020 10:00,"1074.7446","3776.9846","4851.7295","1139.0154","4916"
29/07/2020 10:15,"34.2019","3415.0586","3449.2605","1762.9414","5178"
29/07/2020 10:30,"113.3266","2885.2524","2998.5791","2536.0811","5421.3335"
29/07/2020 10:45,"455.3645","3480.1106","3935.4751","2092.2229","5572.3335"
29/07/2020 11:00,"0","3435.3228","3435.3228","2334.0107","5769.3335"
29/07/2020 11:15,"1154.7833","5369.0728","6523.856","552.5936","5921.6665"
29/07/2020 11:30,"0","2448.1824","2448.1824","3599.1511","6047.3335"
29/07/2020 11:45,"0","4487.6177","4487.6177","1663.3822","6151"
29/07/2020 12:00,"0","3679.6064","3679.6064","2526.0601","6205.6665"
29/07/2020 12:15,"0","4439.3892","4439.3892","1833.2773","6272.6665"
29/07/2020 12:30,"156.1071","4228.7578","4384.8647","2062.5759","6291.3335"
29/07/2020 12:45,"0","2568.6995","2568.6995","3732.3005","6301"
29/07/2020 13:00,"567.7034","5498.0645","6065.7681","831.2691","6329.3335"
29/07/2020 13:15,"284.4878","2891.8896","3176.3774","3379.1104","6271"
29/07/2020 13:30,"956.774","5122.665","6079.439","1097.6683","6220.3335"
29/07/2020 13:45,"0","3524.0894","3524.0894","2645.9106","6170"
29/07/2020 14:00,"600.3445","5021.6079","5621.9521","1052.0586","6073.6665"
29/07/2020 14:15,"158.9084","4224.2485","4383.1567","1732.085","5956.3335"
29/07/2020 14:30,"917.0328","5807","6724.0327","0","5807"
29/07/2020 14:45,"24.0961","4927.6484","4951.7446","723.018","5650.6665"
29/07/2020 15:00,"1013.3067","5063.2397","6076.5464","397.0938","5460.3335"
29/07/2020 15:15,"762.7615","4946.2915","5709.0527","274.3751","5220.6665"
29/07/2020 15:30,"1245.4464","3931.2588","5176.7051","1036.7411","4968"
29/07/2020 15:45,"1523.9314","3267.4487","4791.3799","1283.8849","4551.3335"
29/07/2020 16:00,"3739.6172","4120.3335","7859.9507","0","4120.3335"
29/07/2020 16:15,"1172.3176","2050.0566","3222.3743","1743.9434","3794"
29/07/2020 16:30,"3639.2878","3449.3333","7088.6211","0","3449.3333"
29/07/2020 16:45,"4603.1289","3022.6667","7625.7959","0","3022.6667"
29/07/2020 17:00,"2624.0183","2663","5287.0186","0","2663"
29/07/2020 17:15,"2340.8586","2268.3333","4609.1919","0","2268.3333"
29/07/2020 17:30,"6202.522","1872","8074.522","0","1872"
29/07/2020 17:45,"4066.7649","1506","5572.7646","0","1506"
29/07/2020 18:00,"2905.6719","1103","4008.6719","0","1103"
29/07/2020 18:15,"7500.3091","755.3333","8255.6426","0","755.3333"
29/07/2020 18:30,"4166.6753","471","4637.6753","0","471"
29/07/2020 18:45,"3219.6052","272.6667","3492.272","0","272.6667"
29/07/2020 19:00,"5227.1035","161.3333","5388.437","0","161.3333"
29/07/2020 19:15,"8898.9424","111","9009.9424","0","111"
29/07/2020 19:30,"4571.6201","63","4634.6201","0","63"
29/07/2020 19:45,"1034.0695","17","1051.0695","0","17"
29/07/2020 20:00,"7894.1528","0","7894.1528","0","0"
29/07/2020 20:15,"6429.6138","0","6429.6138","0","0"
29/07/2020 20:30,"3391.8843","0","3391.8843","0","0"
29/07/2020 20:45,"3867.2036","0","3867.2036","0","0"
29/07/2020 21:00,"5365.4971","0","5365.4971","0","0"
29/07/2020 21:15,"5541.7441","0","5541.7441","0","0"
29/07/2020 21:30,"4466.0786","0","4466.0786","0","0"
29/07/2020 21:45,"4421.8862","0","4421.8862","0","0"
29/07/2020 22:00,"4301.4209","0","4301.4209","0","0"
29/07/2020 22:15,"3886.468","0","3886.468","0","0"
29/07/2020 22:30,"3911.9802","0","3911.9802","0","0"
29/07/2020 22:45,"2745.0132","0","2745.0132","0","0"
29/07/2020 23:00,"3565.2285","0","3565.2285","0","0"
29/07/2020 23:15,"4022.6079","0","4022.6079","0","0"
29/07/2020 23:30,"3676.5618","0","3676.5618","0","0"
29/07/2020 23:45,"1945.9818","0","1945.9818","0","0"
30/07/2020 00:00,"3353.9609","0","3353.9609","0","0"
30/07/2020 00:15,"2864.8118","0","2864.8118","0","0"
30/07/2020 00:30,"2275.1753","0","2275.1753","0","0"
30/07/2020 00:45,"3952.0176","0","3952.0176","0","0"
30/07/2020 01:00,"4058.1763","0","4058.1763","0","0"
30/07/2020 01:15,"3687.2168","0","3687.2168","0","0"
30/07/2020 01:30,"2355.4053","0","2355.4053","0","0"
30/07/2020 01:45,"3291.825","0","3291.825","0","0"
