Time,Acquistata (W),Autoconsumo (W),Consumo (W),Immessa (W),Produzione (W)
13/05/2020 00:00,"1835.7615","0","1835.7615","0","0"
13/05/2020 00:15,"2972.175","0","2972.175","0","0"
13/05/2020 00:30,"2967.0283","0","2967.0283","0","0"
13/05/2020 00:45,"1315.6252","0","1315.6252","0","0"
13/05/2020 01:00,"585.0039","0","585.0039","0","0"
13/05/2020 01:15,"1087.6742","0","1087.6742","0","0"
13/05/2020 01:30,"510.8977","0","510.8977","0","0"
13/05/2020 01:45,"575.0709","0","575.0709","0","0"
13/05/2020 02:00,"493.2167","0","493.2167","0","0"
13/05/2020 02:15,"536.131","0","536.131","0","0"
13/05/2020 02:30,"584.4667","0","584.4667","0","0"
13/05/2020 02:45,"489.3394","0","489.3394","0","0"
13/05/2020 03:00,"581.1551","0","581.1551","0","0"
13/05/2020 03:15,"539.6828","0","539.6828","0","0"
13/05/2020 03:30,"842.3241","0","842.3241","0","0"
13/05/2020 03:45,"592.5063","0","592.5063","0","0"
13/05/2020 04:00,"493.1689","0","493.1689","0","0"
13/05/2020 04:15,"494.8853","0","494.8853","0","0"
13/05/2020 04:30,"625.0616","0","625.0616","0","0"
13/05/2020 04:45,"568.9813","0","568.9813","0","0"
13/05/2020 05:00,"475.5153","0","475.5153","0","0"
13/05/2020 05:15,"580.27","0","580.27","0","0"
13/05/2020 05:30,"442.4165","0","442.4165","0","0"
13/05/2020 05:45,"597.5486","12","609.5486","0","12"
13/05/2020 06:00,"762.8124","59.6667","822.4791","0","59.6667"
13/05/2020 06:15,"303.098","96.3333","399.4313","0","96.3333"
13/05/2020 06:30,"234.7742","240","474.7742","0","240"
13/05/2020 06:45,"12.3601","549.288","561.648","181.0453","730.3333"
13/05/2020 07:00,"0","921.6224","921.6224","256.711","1178.3334"
13/05/2020 07:15,"0","979.9167","979.9167","549.7499","1529.6666"
13/05/2020 07:30,"283.074","1898.0635","2181.1375","37.9366","1936"
13/05/2020 07:45,"920.233","2389.3333","3309.5664","0","2389.3333"
13/05/2020 08:00,"93.8917","2105.0986","2198.9902","682.5682","2787.6667"
13/05/2020 08:15,"146.8347","2582.1917","2729.0264","567.4752","3149.6667"
13/05/2020 08:30,"695.4277","2994.3752","3689.803","559.6248","3554"
13/05/2020 08:45,"2541.1812","3947.3333","6488.5146","0","3947.3333"
13/05/2020 09:00,"0","1585.9424","1585.9424","2711.3911","4297.3335"
13/05/2020 09:15,"0","947.3423","947.3423","3673.6577","4621"
13/05/2020 09:30,"0","850.7244","850.7244","3979.6091","4830.3335"
13/05/2020 09:45,"0","447.752","447.752","4626.9146","5074.6665"
13/05/2020 10:00,"0","623.7251","623.7251","4558.9414","5182.6665"
13/05/2020 10:15,"0","996.2603","996.2603","4242.0732","5238.3335"
13/05/2020 10:30,"0","775.5386","775.5386","4837.1279","5612.6665"
13/05/2020 10:45,"0","744.9028","744.9028","5105.7637","5850.6665"
13/05/2020 11:00,"0","1335.7896","1335.7896","3952.5439","5288.3335"
13/05/2020 11:15,"0","1127.2593","1127.2593","4765.7407","5893"
13/05/2020 11:30,"0","1052.3457","1052.3457","5123.6543","6176"
13/05/2020 11:45,"0","1503.8735","1503.8735","4443.1265","5947"
