Time,Acquistata (W),Autoconsumo (W),Consumo (W),Immessa (W),Produzione (W)
08/01/2020 00:00,"6824.3032","0","6824.3032","0","0"
08/01/2020 00:15,"2255.1055","0","2255.1055","0","0"
08/01/2020 00:30,"2691.1592","0","2691.1592","0","0"
08/01/2020 00:45,"2385.4309","0","2385.4309","0","0"
08/01/2020 01:00,"2287.1677","0","2287.1677","0","0"
08/01/2020 01:15,"2231.0754","0","2231.0754","0","0"
08/01/2020 01:30,"2175.1062","0","2175.1062","0","0"
08/01/2020 01:45,"2219.8171","0","2219.8171","0","0"
08/01/2020 02:00,"2969.6921","0","2969.6921","0","0"
08/01/2020 02:15,"3311.6851","0","3311.6851","0","0"
08/01/2020 02:30,"3115.0498","0","3115.0498","0","0"
08/01/2020 02:45,"3713.7217","0","3713.7217","0","0"
08/01/2020 03:00,"3965.147","0","3965.147","0","0"
08/01/2020 03:15,"3792.8032","0","3792.8032","0","0"
08/01/2020 03:30,"3500.8936","0","3500.8936","0","0"
08/01/2020 03:45,"3431.0486","0","3431.0486","0","0"
08/01/2020 04:00,"3362.6248","0","3362.6248","0","0"
08/01/2020 04:15,"3467.6052","0","3467.6052","0","0"
08/01/2020 04:30,"3015.354","0","3015.354","0","0"
08/01/2020 04:45,"3477.1362","0","3477.1362","0","0"
08/01/2020 05:00,"3131.3179","0","3131.3179","0","0"
08/01/2020 05:15,"3057.1138","0","3057.1138","0","0"
08/01/2020 05:30,"5240.085","0","5240.085","0","0"
08/01/2020 05:45,"5897.5386","0","5897.5386","0","0"
08/01/2020 06:00,"4217.0688","0","4217.0688","0","0"
08/01/2020 06:15,"6011.6138","0","6011.6138","0","0"
08/01/2020 06:30,"6769.8325","0","6769.8325","0","0"
08/01/2020 06:45,"4256.1279","0","4256.1279","0","0"
08/01/2020 07:00,"3958.0186","0","3958.0186","0","0"
08/01/2020 07:15,"6006.3848","0","6006.3848","0","0"
08/01/2020 07:30,"8870.4238","127.6667","8998.0908","0","127.6667"
08/01/2020 07:45,"11867.3213","444.6667","12311.9883","0","444.6667"
08/01/2020 08:00,"11942.4941","824","12766.4941","0","824"
08/01/2020 08:15,"9416.9326","1208.6666","10625.5996","0","1208.6666"
08/01/2020 08:30,"6912.4482","1622","8534.4482","0","1622"
08/01/2020 08:45,"3421.5505","1995.6666","5417.2173","0","1995.6666"
08/01/2020 09:00,"1931.1595","2354.3333","4285.4927","0","2354.3333"
08/01/2020 09:15,"752.336","2724.6667","3477.0027","0","2724.6667"
