Time,Acquistata (W),Autoconsumo (W),Consumo (W),Immessa (W),Produzione (W)
26/02/2020 00:00,"2289.2559","0","2289.2559","0","0"
26/02/2020 00:15,"4730.1377","0","4730.1377","0","0"
26/02/2020 00:30,"6149.0068","0","6149.0068","0","0"
26/02/2020 00:45,"3487.1633","0","3487.1633","0","0"
26/02/2020 01:00,"5489.8198","0","5489.8198","0","0"
26/02/2020 01:15,"4321.2466","0","4321.2466","0","0"
26/02/2020 01:30,"4592.3081","0","4592.3081","0","0"
26/02/2020 01:45,"2641.4875","0","2641.4875","0","0"
26/02/2020 02:00,"1948.2703","0","1948.2703","0","0"
26/02/2020 02:15,"2519.72","0","2519.72","0","0"
26/02/2020 02:30,"2336.074","0","2336.074","0","0"
26/02/2020 02:45,"2148.4583","0","2148.4583","0","0"
26/02/2020 03:00,"1913.5525","0","1913.5525","0","0"
26/02/2020 03:15,"1979.4109","0","1979.4109","0","0"
26/02/2020 03:30,"1911.4431","0","1911.4431","0","0"
26/02/2020 03:45,"1806.7963","0","1806.7963","0","0"
26/02/2020 04:00,"1683.0273","0","1683.0273","0","0"
26/02/2020 04:15,"1747.297","0","1747.297","0","0"
26/02/2020 04:30,"632.7156","0","632.7156","0","0"
26/02/2020 04:45,"693.2731","0","693.2731","0","0"
26/02/2020 05:00,"2322.3765","0","2322.3765","0","0"
26/02/2020 05:15,"4555.0542","0","4555.0542","0","0"
26/02/2020 05:30,"3144.1248","0","3144.1248","0","0"
26/02/2020 05:45,"1309.5975","0","1309.5975","0","0"
26/02/2020 06:00,"712.2339","0","712.2339","0","0"
26/02/2020 06:15,"1340.0269","0","1340.0269","0","0"
26/02/2020 06:30,"1525.725","0","1525.725","0","0"
26/02/2020 06:45,"1225.5564","0","1225.5564","0","0"
26/02/2020 07:00,"1473.7134","17","1490.7134","0","17"
26/02/2020 07:15,"2440.4409","67.6667","2508.1077","0","67.6667"
26/02/2020 07:30,"5389.1177","140","5529.1177","0","140"
26/02/2020 07:45,"9289.6982","405","9694.6982","0","405"
26/02/2020 08:00,"7719.9224","674.3333","8394.2559","0","674.3333"
26/02/2020 08:15,"1874.2523","592.3333","2466.5857","0","592.3333"
