Time,Acquistata (W),Autoconsumo (W),Consumo (W),Immessa (W),Produzione (W)
17/06/2020 00:00,"6728.2246","0","6728.2246","0","0"
17/06/2020 00:15,"8072.4453","0","8072.4453","0","0"
17/06/2020 00:30,"3967.21","0","3967.21","0","0"
17/06/2020 00:45,"5806.1616","0","5806.1616","0","0"
17/06/2020 01:00,"3520.5803","0","3520.5803","0","0"
17/06/2020 01:15,"2495.7529","0","2495.7529","0","0"
17/06/2020 01:30,"1151.5337","0","1151.5337","0","0"
17/06/2020 01:45,"806.656","0","806.656","0","0"
17/06/2020 02:00,"629.2898","0","629.2898","0","0"
17/06/2020 02:15,"1475.1034","0","1475.1034","0","0"
17/06/2020 02:30,"2249.7268","0","2249.7268","0","0"
17/06/2020 02:45,"1709.7461","0","1709.7461","0","0"
17/06/2020 03:00,"1226.8206","0","1226.8206","0","0"
17/06/2020 03:15,"597.1575","0","597.1575","0","0"
17/06/2020 03:30,"596.5746","0","596.5746","0","0"
17/06/2020 03:45,"669.3594","0","669.3594","0","0"
17/06/2020 04:00,"659.6303","0","659.6303","0","0"
17/06/2020 04:15,"556.8458","0","556.8458","0","0"
17/06/2020 04:30,"665.2961","0","665.2961","0","0"
17/06/2020 04:45,"531.7849","0","531.7849","0","0"
17/06/2020 05:00,"522.3985","0","522.3985","0","0"
17/06/2020 05:15,"651.6682","0","651.6682","0","0"
17/06/2020 05:30,"796.9814","4.6667","801.6481","0","4.6667"
17/06/2020 05:45,"507.0394","55.6667","562.7061","0","55.6667"
17/06/2020 06:00,"682.1798","140","822.1798","0","140"
17/06/2020 06:15,"215.8551","329.6667","545.5218","0","329.6667"
17/06/2020 06:30,"395.8957","603","998.8956","0","603"
17/06/2020 06:45,"284.8031","779.4618","1064.2649","133.5382","913"
17/06/2020 07:00,"1475.6962","1270.3334","2746.0295","0","1270.3334"
17/06/2020 07:15,"3670.4636","1674.6666","5345.1304","0","1674.6666"
17/06/2020 07:30,"4869.7261","2077","6946.7261","0","2077"
17/06/2020 07:45,"4573.0464","2485.6667","7058.7129","0","2485.6667"
17/06/2020 08:00,"874.4724","1509.3501","2383.8225","1354.6499","2864"
17/06/2020 08:15,"0","836.3494","836.3494","2383.3174","3219.6667"
17/06/2020 08:30,"0","1309.5737","1309.5737","2381.6763","3691.25"
17/06/2020 08:45,"0","1942.7437","1942.7437","2172.5898","4115.3335"
17/06/2020 09:00,"0","1266.8188","1266.8188","3150.1812","4417"
17/06/2020 09:15,"0","1334.5979","1334.5979","3416.4021","4751"
17/06/2020 09:30,"312.7477","3968.9307","4281.6782","1200.7358","5169.6665"
17/06/2020 09:45,"0","3169.3376","3169.3376","2271.9958","5441.3335"
17/06/2020 10:00,"0","3676.3037","3676.3037","2498.6963","6175"
17/06/2020 10:15,"345.0601","2129.0344","2474.0945","2147.2991","4276.3335"
17/06/2020 10:30,"148.5967","1075.5835","1224.1802","3993.083","5068.6665"
17/06/2020 10:45,"982.6741","1255.9915","2238.6655","1249.3418","2505.3333"
17/06/2020 11:00,"0","761.0425","761.0425","6163.291","6924.3335"
17/06/2020 11:15,"0","1565.7686","1565.7686","5554.8979","7120.6665"
17/06/2020 11:30,"0","1866.0586","1866.0586","5162.9414","7029"
17/06/2020 11:45,"0","2094.5474","2094.5474","4534.7861","6629.3335"
17/06/2020 12:00,"0","1817.4473","1817.4473","4864.8862","6682.3335"
17/06/2020 12:15,"0","1711.7153","1711.7153","5011.2847","6723"
17/06/2020 12:30,"0","2155.1533","2155.1533","4622.5132","6777.6665"
17/06/2020 12:45,"0","1924.043","1924.043","4963.957","6888"
17/06/2020 13:00,"374.1816","1802.1021","2176.2837","4258.8979","6061"
17/06/2020 13:15,"828.8079","2461.9973","3290.8052","2927.3362","5389.3335"
17/06/2020 13:30,"0","3135.8999","3135.8999","4174.7666","7310.6665"
17/06/2020 13:45,"1175.8126","2219.772","3395.5845","3399.8945","5619.6665"
17/06/2020 14:00,"0","1365.4041","1365.4041","2128.9292","3494.3333"
17/06/2020 14:15,"0","2632.8691","2632.8691","3712.1309","6345"
17/06/2020 14:30,"0","823.6504","823.6504","5267.6831","6091.3335"
17/06/2020 14:45,"0","2351.4905","2351.4905","3652.5095","6004"
17/06/2020 15:00,"0","1515.4226","1515.4226","4030.2439","5545.6665"
17/06/2020 15:15,"0","3203.2737","3203.2737","2389.3928","5592.6665"
17/06/2020 15:30,"0","1924.7046","1924.7046","2733.6289","4658.3335"
17/06/2020 15:45,"0","2258.6941","2258.6941","1350.9727","3609.6667"
17/06/2020 16:00,"1013.68","2077.4795","3091.1594","902.5205","2980"
17/06/2020 16:15,"0","1678.3049","1678.3049","1760.6951","3439"
17/06/2020 16:30,"48.3166","1877.4468","1925.7633","1543.8865","3421.3333"
17/06/2020 16:45,"0","1713.182","1713.182","1870.4847","3583.6667"
17/06/2020 17:00,"1055.2238","2156.4214","3211.645","479.912","2636.3333"
17/06/2020 17:15,"1290.913","1637.3328","2928.2456","251.3338","1888.6666"
17/06/2020 17:30,"1264.3379","1111.9846","2376.3225","429.3488","1541.3334"
17/06/2020 17:45,"1747.98","1798.6951","3546.675","49.6383","1848.3334"
17/06/2020 18:00,"741.6743","1471.6666","2213.3408","0","1471.6666"
17/06/2020 18:15,"2366.5005","1169","3535.5005","0","1169"
17/06/2020 18:30,"1773.9905","773.3333","2547.3237","0","773.3333"
17/06/2020 18:45,"1670.635","570","2240.635","0","570"
17/06/2020 19:00,"2915.9502","330","3245.9502","0","330"
17/06/2020 19:15,"1117.3608","218.6667","1336.0275","0","218.6667"
17/06/2020 19:30,"4131.5605","137.3333","4268.894","0","137.3333"
17/06/2020 19:45,"2095.4368","65.3333","2160.77","0","65.3333"
17/06/2020 20:00,"2215.9446","11","2226.9446","0","11"
17/06/2020 20:15,"1912.8317","0","1912.8317","0","0"
17/06/2020 20:30,"1354.9828","0","1354.9828","0","0"
17/06/2020 20:45,"2270.0371","0","2270.0371","0","0"
17/06/2020 21:00,"1330.5585","0","1330.5585","0","0"
17/06/2020 21:15,"1602.9868","0","1602.9868","0","0"
17/06/2020 21:30,"1897.6316","0","1897.6316","0","0"
17/06/2020 21:45,"2929.4087","0","2929.4087","0","0"
17/06/2020 22:00,"1236.0791","0","1236.0791","0","0"
17/06/2020 22:15,"983.9225","0","983.9225","0","0"
17/06/2020 22:30,"1509.012","0","1509.012","0","0"
17/06/2020 22:45,"953.3633","0","953.3633","0","0"
17/06/2020 23:00,"1818.0262","0","1818.0262","0","0"
17/06/2020 23:15,"1105.9419","0","1105.9419","0","0"
17/06/2020 23:30,"2982.022","0","2982.022","0","0"
17/06/2020 23:45,"828.6695","0","828.6695","0","0"
18/06/2020 00:00,"1807.7731","0","1807.7731","0","0"
18/06/2020 00:15,"714.7068","0","714.7068","0","0"
18/06/2020 00:30,"741.2262","0","741.2262","0","0"
18/06/2020 00:45,"1680.3453","0","1680.3453","0","0"
18/06/2020 01:00,"3169.2207","0","3169.2207","0","0"
18/06/2020 01:15,"1349.1492","0","1349.1492","0","0"
18/06/2020 01:30,"787.6325","0","787.6325","0","0"
18/06/2020 01:45,"1599.5321","0","1599.5321","0","0"
18/06/2020 02:00,"1854.5896","0","1854.5896","0","0"
18/06/2020 02:15,"1680.6459","0","1680.6459","0","0"
18/06/2020 02:30,"1115.3025","0","1115.3025","0","0"
18/06/2020 02:45,"615.7155","0","615.7155","0","0"
18/06/2020 03:00,"705.6059","0","705.6059","0","0"
18/06/2020 03:15,"435.6367","0","435.6367","0","0"
18/06/2020 03:30,"479.2577","0","479.2577","0","0"
18/06/2020 03:45,"591.2963","0","591.2963","0","0"
18/06/2020 04:00,"530.251","0","530.251","0","0"
18/06/2020 04:15,"931.9357","0","931.9357","0","0"
18/06/2020 04:30,"1091.4744","0","1091.4744","0","0"
18/06/2020 04:45,"954.3058","0","954.3058","0","0"
18/06/2020 05:00,"530.4983","0","530.4983","0","0"
18/06/2020 05:15,"562.8612","0","562.8612","0","0"
18/06/2020 05:30,"415.8399","14.6667","430.5065","0","14.6667"
18/06/2020 05:45,"523.1873","74.6667","597.854","0","74.6667"
18/06/2020 06:00,"308.756","187","495.756","0","187"
18/06/2020 06:15,"321.2628","382.3563","703.6191","24.3104","406.6667"
18/06/2020 06:30,"234.1682","570.5504","804.7185","15.4496","586"
18/06/2020 06:45,"113.3016","844.4926","957.7943","47.8407","892.3333"
18/06/2020 07:00,"268.506","670.748","939.254","571.9186","1242.6666"
18/06/2020 07:15,"0","475.9668","475.9668","1158.0332","1634"
18/06/2020 07:30,"0","636.1428","636.1428","1401.8572","2038"
18/06/2020 07:45,"0","715.0021","715.0021","1747.3312","2462.3333"
