Time,Acquistata (W),Autoconsumo (W),Consumo (W),Immessa (W),Produzione (W)
01/07/2020 00:00,"3669.6055","0","3669.6055","0","0"
01/07/2020 00:15,"2890.8525","0","2890.8525","0","0"
01/07/2020 00:30,"3157.6938","0","3157.6938","0","0"
01/07/2020 00:45,"3432.0024","0","3432.0024","0","0"
01/07/2020 01:00,"3311.6953","0","3311.6953","0","0"
01/07/2020 01:15,"4081.6692","0","4081.6692","0","0"
01/07/2020 01:30,"3640.6914","0","3640.6914","0","0"
01/07/2020 01:45,"2884.1494","0","2884.1494","0","0"
01/07/2020 02:00,"3108.9692","0","3108.9692","0","0"
01/07/2020 02:15,"3139.5125","0","3139.5125","0","0"
01/07/2020 02:30,"2644.3457","0","2644.3457","0","0"
01/07/2020 02:45,"2710.6479","0","2710.6479","0","0"
01/07/2020 03:00,"3747.7986","0","3747.7986","0","0"
01/07/2020 03:15,"2975.5256","0","2975.5256","0","0"
01/07/2020 03:30,"4099.0352","0","4099.0352","0","0"
01/07/2020 03:45,"2667.804","0","2667.804","0","0"
01/07/2020 04:00,"2612.7405","0","2612.7405","0","0"
01/07/2020 04:15,"3046.9246","0","3046.9246","0","0"
01/07/2020 04:30,"3746.3918","0","3746.3918","0","0"
01/07/2020 04:45,"2779.8196","0","2779.8196","0","0"
01/07/2020 05:00,"2745.4658","0","2745.4658","0","0"
01/07/2020 05:15,"2996.8838","0","2996.8838","0","0"
01/07/2020 05:30,"3820.2878","7","3827.2878","0","7"
01/07/2020 05:45,"2797.7207","55","2852.7207","0","55"
01/07/2020 06:00,"2489.2778","129","2618.2778","0","129"
01/07/2020 06:15,"1385.8201","280.6667","1666.4867","0","280.6667"
01/07/2020 06:30,"1831.3179","510.6667","2341.9846","0","510.6667"
01/07/2020 06:45,"1640.7241","694.4744","2335.1985","64.8589","759.3333"
01/07/2020 07:00,"797.2845","1067.3334","1864.6179","0","1067.3334"
01/07/2020 07:15,"2544.2432","1414","3958.2432","0","1414"
01/07/2020 07:30,"2027.1077","1788.3334","3815.4409","0","1788.3334"
01/07/2020 07:45,"2574.2363","2132","4706.2363","0","2132"
01/07/2020 08:00,"2178.4993","2495.3333","4673.8325","0","2495.3333"
01/07/2020 08:15,"513.1284","2859","3372.1284","0","2859"
01/07/2020 08:30,"263.5311","3000.229","3263.76","205.4378","3205.6667"
01/07/2020 08:45,"0","2751.3306","2751.3306","791.0028","3542.3333"
01/07/2020 09:00,"326.2413","3197.9668","3524.208","695.7","3893.6667"
01/07/2020 09:15,"37.8173","3580.832","3618.6494","577.5014","4158.3335"
01/07/2020 09:30,"0","3772.1089","3772.1089","682.1412","4454.25"
01/07/2020 09:45,"292.7334","3892.9797","4185.7129","803.3537","4696.3335"
01/07/2020 10:00,"0","3165.1985","3165.1985","1819.8015","4985"
01/07/2020 10:15,"92.5472","4693.9194","4786.4668","492.7472","5186.6665"
01/07/2020 10:30,"0","3335.0352","3335.0352","2018.9648","5354"
01/07/2020 10:45,"0","3482.7305","3482.7305","2094.936","5577.6665"
01/07/2020 11:00,"0","3335.1279","3335.1279","2392.8721","5728"
01/07/2020 11:15,"0","3179.2219","3179.2219","2754.1116","5933.3335"
01/07/2020 11:30,"0","3769.9004","3769.9004","2238.4331","6008.3335"
01/07/2020 11:45,"0","2626.3621","2626.3621","3503.3044","6129.6665"
01/07/2020 12:00,"0","2932.6104","2932.6104","3280.3896","6213"
01/07/2020 12:15,"0","2542.0205","2542.0205","3707.646","6249.6665"
01/07/2020 12:30,"0","4180.5381","4180.5381","2084.4622","6265"
01/07/2020 12:45,"0","3560.3906","3560.3906","2723.6094","6284"
01/07/2020 13:00,"0","4806.5742","4806.5742","1446.426","6253"
01/07/2020 13:15,"0","3939.7166","3939.7166","2251.6169","6191.3335"
01/07/2020 13:30,"0","3511.144","3511.144","2642.1895","6153.3335"
01/07/2020 13:45,"1051.9523","5487.9248","6539.877","578.7415","6066.6665"
01/07/2020 14:00,"477.7934","5125.4526","5603.2461","856.8809","5982.3335"
01/07/2020 14:15,"70.7241","5525.9009","5596.625","308.4326","5834.3335"
01/07/2020 14:30,"0","4491.2515","4491.2515","1193.4152","5684.6665"
01/07/2020 14:45,"189.6661","5249.4346","5439.1006","283.5655","5533"
01/07/2020 15:00,"27.374","5167.9429","5195.3169","190.3905","5358.3335"
01/07/2020 15:15,"2879.7683","5064.3335","7944.1016","0","5064.3335"
01/07/2020 15:30,"151.3495","4751.2803","4902.6299","79.053","4830.3335"
01/07/2020 15:45,"340.8961","4470.9014","4811.7974","88.4323","4559.3335"
01/07/2020 16:00,"576.7644","4222","4798.7646","0","4222"
01/07/2020 16:15,"1789.0581","3821.6667","5610.7246","0","3821.6667"
01/07/2020 16:30,"3152.0859","3341.3333","6493.4189","0","3341.3333"
01/07/2020 16:45,"3641.3076","1979.6666","5620.9741","0","1979.6666"
01/07/2020 17:00,"4132.7632","1874.6666","6007.4297","0","1874.6666"
01/07/2020 17:15,"4925.4414","1596.3334","6521.7749","0","1596.3334"
01/07/2020 17:30,"3421.5315","1616.6666","5038.1982","0","1616.6666"
01/07/2020 17:45,"3372.8235","1560.6666","4933.4902","0","1560.6666"
01/07/2020 18:00,"4570.4839","1395.6666","5966.1504","0","1395.6666"
01/07/2020 18:15,"4352.7534","941.3333","5294.0869","0","941.3333"
01/07/2020 18:30,"4529.0908","828","5357.0908","0","828"
01/07/2020 18:45,"4385.1484","655.3333","5040.4819","0","655.3333"
01/07/2020 19:00,"5458.4824","451.3333","5909.8159","0","451.3333"
01/07/2020 19:15,"5546.5918","291.3333","5837.9253","0","291.3333"
01/07/2020 19:30,"5775.8354","93","5868.8354","0","93"
01/07/2020 19:45,"5370.0635","13.6667","5383.73","0","13.6667"
01/07/2020 20:00,"6334.0342","7","6341.0342","0","7"
01/07/2020 20:15,"5358.6201","4.3333","5362.9536","0","4.3333"
01/07/2020 20:30,"6757.3657","0","6757.3657","0","0"
01/07/2020 20:45,"7597.1245","0","7597.1245","0","0"
01/07/2020 21:00,"6617.082","0","6617.082","0","0"
01/07/2020 21:15,"6209.2275","0","6209.2275","0","0"
01/07/2020 21:30,"5385.9937","0","5385.9937","0","0"
01/07/2020 21:45,"5199.3882","0","5199.3882","0","0"
01/07/2020 22:00,"5373.0913","0","5373.0913","0","0"
01/07/2020 22:15,"5635.9033","0","5635.9033","0","0"
01/07/2020 22:30,"5755.3799","0","5755.3799","0","0"
01/07/2020 22:45,"6329.8037","0","6329.8037","0","0"
01/07/2020 23:00,"5022.2715","0","5022.2715","0","0"
01/07/2020 23:15,"5282.0068","0","5282.0068","0","0"
01/07/2020 23:30,"5196.8154","0","5196.8154","0","0"
01/07/2020 23:45,"5423.9609","0","5423.9609","0","0"
02/07/2020 00:00,"5376.9009","0","5376.9009","0","0"
02/07/2020 00:15,"5574.8955","0","5574.8955","0","0"
02/07/2020 00:30,"5088.4893","0","5088.4893","0","0"
02/07/2020 00:45,"5701.2954","0","5701.2954","0","0"
02/07/2020 01:00,"3368.8169","0","3368.8169","0","0"
02/07/2020 01:15,"3579.6477","0","3579.6477","0","0"
02/07/2020 01:30,"2991.8491","0","2991.8491","0","0"
02/07/2020 01:45,"4012.9128","0","4012.9128","0","0"
02/07/2020 02:00,"3119.5276","0","3119.5276","0","0"
02/07/2020 02:15,"3654.9875","0","3654.9875","0","0"
