Time,Acquistata (W),Autoconsumo (W),Consumo (W),Immessa (W),Produzione (W)
22/07/2020 00:00,"2348.5083","0","2348.5083","0","0"
22/07/2020 00:15,"3159.2534","0","3159.2534","0","0"
22/07/2020 00:30,"1190.74","0","1190.74","0","0"
22/07/2020 00:45,"2181.4988","0","2181.4988","0","0"
22/07/2020 01:00,"3244.9158","0","3244.9158","0","0"
22/07/2020 01:15,"2791.6917","0","2791.6917","0","0"
22/07/2020 01:30,"2365.6292","0","2365.6292","0","0"
22/07/2020 01:45,"3356.5583","0","3356.5583","0","0"
22/07/2020 02:00,"2020.6315","0","2020.6315","0","0"
22/07/2020 02:15,"2469.2651","0","2469.2651","0","0"
22/07/2020 02:30,"2511.4128","0","2511.4128","0","0"
22/07/2020 02:45,"3219.5515","0","3219.5515","0","0"
22/07/2020 03:00,"2510.938","0","2510.938","0","0"
22/07/2020 03:15,"2031.953","0","2031.953","0","0"
22/07/2020 03:30,"1557.8231","0","1557.8231","0","0"
22/07/2020 03:45,"1789.2554","0","1789.2554","0","0"
22/07/2020 04:00,"2225.9597","0","2225.9597","0","0"
22/07/2020 04:15,"4007.9138","0","4007.9138","0","0"
22/07/2020 04:30,"2156.822","0","2156.822","0","0"
22/07/2020 04:45,"1547.573","0","1547.573","0","0"
22/07/2020 05:00,"1933.3567","0","1933.3567","0","0"
22/07/2020 05:15,"1207.8115","0","1207.8115","0","0"
22/07/2020 05:30,"2968.8652","0","2968.8652","0","0"
22/07/2020 05:45,"1001.9945","11.3333","1013.3278","0","11.3333"
22/07/2020 06:00,"2338.1089","48.3333","2386.4421","0","48.3333"
22/07/2020 06:15,"1195.9834","131.6667","1327.65","0","131.6667"
22/07/2020 06:30,"2136.5347","329","2465.5347","0","329"
22/07/2020 06:45,"777.9911","603","1380.9911","0","603"
22/07/2020 07:00,"1552.8107","926.6667","2479.4773","0","926.6667"
22/07/2020 07:15,"0","762.5193","762.5193","554.4807","1317"
22/07/2020 07:30,"2437.6597","1329.4786","3767.1382","383.5214","1713"
22/07/2020 07:45,"125.9844","1707.3615","1833.3458","420.6385","2128"
22/07/2020 08:00,"714.8675","1868.5352","2583.4026","665.1317","2533.6667"
22/07/2020 08:15,"693.435","2609.9875","3303.4226","285.0124","2895"
22/07/2020 08:30,"222.3262","2737.9878","2960.314","559.6789","3297.6667"
22/07/2020 08:45,"236.3838","2831.3384","3067.7222","861.4116","3692.75"
22/07/2020 09:00,"0","2408.3967","2408.3967","1684.27","4092.6667"
22/07/2020 09:15,"160.5371","2412.1421","2572.6792","2007.1915","4419.3335"
22/07/2020 09:30,"0","2733.9844","2733.9844","1980.0157","4714"
22/07/2020 09:45,"0","2457.9971","2457.9971","2552.3364","5010.3335"
22/07/2020 10:00,"184.7329","4504.6226","4689.3555","783.7108","5288.3335"
22/07/2020 10:15,"0","2449.4226","2449.4226","3029.9109","5479.3335"
