Time,Acquistata (W),Autoconsumo (W),Consumo (W),Immessa (W),Produzione (W)
21/10/2020 00:00,"802.8713","0","802.8713","0","0"
21/10/2020 00:15,"676.7679","0","676.7679","0","0"
21/10/2020 00:30,"713.5303","0","713.5303","0","0"
21/10/2020 00:45,"509.0545","0","509.0545","0","0"
21/10/2020 01:00,"465.2387","0","465.2387","0","0"
21/10/2020 01:15,"450.2336","0","450.2336","0","0"
21/10/2020 01:30,"407.6669","0","407.6669","0","0"
21/10/2020 01:45,"643.7074","0","643.7074","0","0"
21/10/2020 02:00,"491.1135","0","491.1135","0","0"
21/10/2020 02:15,"470.813","0","470.813","0","0"
21/10/2020 02:30,"505.9519","0","505.9519","0","0"
21/10/2020 02:45,"438.5731","0","438.5731","0","0"
21/10/2020 03:00,"700.6143","0","700.6143","0","0"
21/10/2020 03:15,"408.361","0","408.361","0","0"
21/10/2020 03:30,"427.5983","0","427.5983","0","0"
21/10/2020 03:45,"541.9735","0","541.9735","0","0"
21/10/2020 04:00,"458.5803","0","458.5803","0","0"
21/10/2020 04:15,"657.5475","0","657.5475","0","0"
21/10/2020 04:30,"457.742","0","457.742","0","0"
21/10/2020 04:45,"445.6263","0","445.6263","0","0"
21/10/2020 05:00,"528.1049","0","528.1049","0","0"
21/10/2020 05:15,"1834.0415","0","1834.0415","0","0"
21/10/2020 05:30,"3421.1143","0","3421.1143","0","0"
21/10/2020 05:45,"3316.6624","0","3316.6624","0","0"
21/10/2020 06:00,"450.0468","0","450.0468","0","0"
21/10/2020 06:15,"554.8925","0","554.8925","0","0"
21/10/2020 06:30,"1191.8394","0","1191.8394","0","0"
21/10/2020 06:45,"974.2121","0","974.2121","0","0"
21/10/2020 07:00,"3816.0833","0","3816.0833","0","0"
21/10/2020 07:15,"5959.6006","22.3333","5981.9341","0","22.3333"
21/10/2020 07:30,"7339.459","195.6667","7535.1255","0","195.6667"
21/10/2020 07:45,"7931.4985","508.6667","8440.165","0","508.6667"
21/10/2020 08:00,"70.7942","557.1124","627.9066","308.2209","865.3333"
21/10/2020 08:15,"0","828.2053","828.2053","498.4613","1326.6666"
21/10/2020 08:30,"0","677.2646","677.2646","1127.0687","1804.3334"
21/10/2020 08:45,"0","598.4406","598.4406","1555.2262","2153.6667"
21/10/2020 09:00,"0","417.438","417.438","2257.8953","2675.3333"
21/10/2020 09:15,"0","513.9758","513.9758","2590.3574","3104.3333"
21/10/2020 09:30,"0","1275.5088","1275.5088","2173.8245","3449.3333"
21/10/2020 09:45,"0","2025.2494","2025.2494","1813.0839","3838.3333"
21/10/2020 10:00,"0","3051.3838","3051.3838","1033.9493","4085.3333"
21/10/2020 10:15,"0","3280.897","3280.897","1105.103","4386"
21/10/2020 10:30,"0","954.3606","954.3606","3699.9729","4654.3335"
21/10/2020 10:45,"0","637.4717","637.4717","4181.8618","4819.3335"
21/10/2020 11:00,"0","688.4663","688.4663","4277.5337","4966"
21/10/2020 11:15,"0","1012.916","1012.916","4137.7505","5150.6665"
21/10/2020 11:30,"0","814.1157","814.1157","4447.5508","5261.6665"
21/10/2020 11:45,"0","469.4199","469.4199","4883.2466","5352.6665"
21/10/2020 12:00,"0","470.9219","470.9219","4949.0781","5420"
21/10/2020 12:15,"0","1218.0464","1218.0464","4222.9536","5441"
21/10/2020 12:30,"0","972.4512","972.4512","4501.5488","5474"
